openssl_101f,libressl_3,sim_value
a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.9773336156545493
dtls1_reassemble_fragment,dtls1_reassemble_fragment,0.9773233448955407
CRYPTO_ccm128_encrypt,CRYPTO_ccm128_encrypt,0.9773049647744908
ec_GF2m_simple_add,ec_GFp_simple_add,0.9772481264560352
ec_GF2m_simple_set_compressed_coordinates,ec_GF2m_simple_is_on_curve,0.9771814224567705
CRYPTO_ccm128_decrypt_ccm64,CRYPTO_ccm128_decrypt_ccm64,0.9770876090302719
RSA_eay_private_encrypt,RSA_eay_private_decrypt,0.9770319116446206
RSA_eay_private_decrypt,RSA_eay_private_encrypt,0.9769473678542826
ec_GF2m_montgomery_point_multiply,ec_GF2m_montgomery_point_multiply,0.9769352306046453
TXT_DB_write,TXT_DB_write,0.9768760465478304
add_cert_dir,add_cert_dir,0.9767132590103512
x509_object_idx_cnt,x509_object_idx_cnt,0.9765494137353434
CRYPTO_ccm128_decrypt_ccm64,CRYPTO_ccm128_encrypt_ccm64,0.9764263871727796
CRYPTO_ccm128_encrypt_ccm64,CRYPTO_ccm128_decrypt_ccm64,0.9764263871727796
ec_GF2m_simple_is_on_curve,ec_GF2m_simple_add,0.9761893038990448
CMS_verify,CMS_verify,0.97607780707174
aesni_cbc_hmac_sha1_ctrl,aesni_cbc_hmac_sha1_ctrl,0.9759539028995083
ecdsa_do_sign,ecdsa_do_sign,0.9759144568733245
X509_NAME_oneline,X509_NAME_oneline,0.975693267861149
RSA_eay_private_decrypt,RSA_eay_public_decrypt,0.975471308407016
CRYPTO_ccm128_decrypt,CRYPTO_ccm128_encrypt,0.9754127992886473
BN_bin2bn,BN_dec2bn,0.9753742393394207
CRYPTO_ccm128_encrypt,CRYPTO_ccm128_decrypt,0.9752141814271585
BN_mod_exp_mont,BN_mod_exp2_mont,0.975145298173339
dh_main,dh_main,0.97495145044357
v2i_NAME_CONSTRAINTS,v2i_NAME_CONSTRAINTS,0.974627690081572
certify,certify_cert,0.9745297658323133
do_dsa_print,do_dh_print,0.9745139534628575
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_is_on_curve,0.9744851276967412
ec_GFp_simple_is_on_curve,ec_GF2m_simple_set_compressed_coordinates,0.9743637586135715
www_body,www_body,0.9742359816195341
ec_GF2m_simple_is_on_curve,ec_GFp_simple_add,0.9741253075235976
